scenario,farm_type,number_of_farms,metric,value_dkk,error_high_dkk,error_low_dkk,value_usd,error_high_usd,error_low_usd
Average,Breed,986.271844193741,amr_production_losses_at_pop_level_median,17689810.552203853,320426972.26401603,320504583.80723995,2504877.1741920654,45372459.27258467,45383449.06710518
Average,Nurse,1991.85480102631,amr_production_losses_at_pop_level_median,163525931.211678,42637728.80014402,41451827.40974037,23155271.859573606,6037502.398100393,5869578.761219237
Average,Fat,0.0,amr_production_losses_at_pop_level_median,-0.0,0.0,0.0,-0.0,0.0,0.0
Average,Total,2978.126645220051,amr_production_losses_at_pop_level_median,181215741.76388186,363064701.06416005,361956411.21698034,25660149.033765674,51409961.67068507,51253027.828324415
Worse,Breed,986.271844193741,amr_production_losses_at_pop_level_median,45363730.88311281,322161846.6827549,321155089.6870728,6423504.293048774,45618117.490278095,45475560.699689515
Worse,Nurse,1991.85480102631,amr_production_losses_at_pop_level_median,318239239.4620812,42810217.25431365,41641348.9897756,45062676.3078307,6061926.763210813,5896415.016952225
Worse,Fat,0.0,amr_production_losses_at_pop_level_median,-0.0,0.0,0.0,-0.0,0.0,0.0
Worse,Total,2978.126645220051,amr_production_losses_at_pop_level_median,363602970.345194,364972063.9370686,362796438.6768484,51486180.60087947,51680044.25348891,51371975.71664174
Best,Breed,986.271844193741,amr_production_losses_at_pop_level_median,338092.96495575836,320895147.5560036,316601882.3483528,47873.963837735384,45438752.89393011,44830826.540526755
Best,Nurse,1991.85480102631,amr_production_losses_at_pop_level_median,56094931.36274188,42836466.76106439,41871054.339444615,7943042.280964251,6065643.693366718,5928941.294465357
Best,Fat,0.0,amr_production_losses_at_pop_level_median,-0.0,0.0,0.0,-0.0,0.0,0.0
Best,Total,2978.126645220051,amr_production_losses_at_pop_level_median,56433024.32769764,363731614.317068,358472936.6877974,7990916.244801986,51504396.58729683,50759767.83499212
Average,Breed,986.271844193741,amr_health_expenditure_at_pop_level_median,,,,,,
Average,Nurse,1991.85480102631,amr_health_expenditure_at_pop_level_median,,,,,,
Average,Fat,0.0,amr_health_expenditure_at_pop_level_median,,,,,,
Average,Total,2978.126645220051,amr_health_expenditure_at_pop_level_median,30732654.23,49013923.28999999,23045924.77,4351743.838968,6940371.537863999,3263302.947432
Worse,Breed,986.271844193741,amr_health_expenditure_at_pop_level_median,,,,,,
Worse,Nurse,1991.85480102631,amr_health_expenditure_at_pop_level_median,,,,,,
Worse,Fat,0.0,amr_health_expenditure_at_pop_level_median,,,,,,
Worse,Total,2978.126645220051,amr_health_expenditure_at_pop_level_median,30732654.23,49013923.28999999,23045924.77,4351743.838968,6940371.537863999,3263302.947432
Best,Breed,986.271844193741,amr_health_expenditure_at_pop_level_median,,,,,,
Best,Nurse,1991.85480102631,amr_health_expenditure_at_pop_level_median,,,,,,
Best,Fat,0.0,amr_health_expenditure_at_pop_level_median,,,,,,
Best,Total,2978.126645220051,amr_health_expenditure_at_pop_level_median,30732654.23,49013923.28999999,23045924.77,4351743.838968,6940371.537863999,3263302.947432
Average,Breed,986.271844193741,amr_total_burden_at_pop_level_median,17689810.552203853,320426972.26401603,320504583.80723995,2504877.1741920654,45372459.27258467,45383449.06710518
Average,Nurse,1991.85480102631,amr_total_burden_at_pop_level_median,163525931.211678,42637728.80014402,41451827.40974037,23155271.859573606,6037502.398100393,5869578.761219237
Average,Fat,0.0,amr_total_burden_at_pop_level_median,-0.0,0.0,0.0,-0.0,0.0,0.0
Average,Total,2978.126645220051,amr_total_burden_at_pop_level_median,211948395.99388185,412078624.3541601,385002335.9869803,30011892.87273367,58350333.20854907,54516330.77575641
Worse,Breed,986.271844193741,amr_total_burden_at_pop_level_median,45363730.88311281,322161846.6827549,321155089.6870728,6423504.293048774,45618117.490278095,45475560.699689515
Worse,Nurse,1991.85480102631,amr_total_burden_at_pop_level_median,318239239.4620812,42810217.25431365,41641348.9897756,45062676.3078307,6061926.763210813,5896415.016952225
Worse,Fat,0.0,amr_total_burden_at_pop_level_median,-0.0,0.0,0.0,-0.0,0.0,0.0
Worse,Total,2978.126645220051,amr_total_burden_at_pop_level_median,394335624.575194,413985987.22706854,385842363.44684845,55837924.43984747,58620415.791352905,54635278.66407374
Best,Breed,986.271844193741,amr_total_burden_at_pop_level_median,338092.96495575836,320895147.5560036,316601882.3483528,47873.963837735384,45438752.89393011,44830826.540526755
Best,Nurse,1991.85480102631,amr_total_burden_at_pop_level_median,56094931.36274188,42836466.76106439,41871054.339444615,7943042.280964251,6065643.693366718,5928941.294465357
Best,Fat,0.0,amr_total_burden_at_pop_level_median,-0.0,0.0,0.0,-0.0,0.0,0.0
Best,Total,2978.126645220051,amr_total_burden_at_pop_level_median,87165678.55769764,412745537.60706794,381518861.45779747,12342660.083769986,58444768.12516082,54023070.78242412
Average,Breed,986.271844193741,ahle_at_pop_level_withoutamr_median,4129499826.9077697,352266871.2519541,347443198.72820044,584737175.4901402,49880988.9692767,49197956.93991318
Average,Nurse,1991.85480102631,ahle_at_pop_level_withoutamr_median,1217985683.9599113,65659912.674731016,66491802.4620471,172466772.84872344,9297443.634741912,9415239.22862587
Average,Fat,0.0,ahle_at_pop_level_withoutamr_median,2232583160.6021614,174219645.87280607,171718578.17410445,316133775.5412661,24669501.85558934,24315350.669453193
Average,Total,2978.126645220051,ahle_at_pop_level_withoutamr_median,7549336017.239842,592146429.79949,585653579.3643532,1068985980.0411617,83847934.45960778,82928546.83799241
Worse,Breed,986.271844193741,ahle_at_pop_level_withoutamr_median,4101825906.5768604,352266871.2519541,347443198.72820044,580818548.3712834,49880988.9692767,49197956.93991318
