scenario,farm_type,number_of_farms,amr_production_losses_at_farm_level_median,amr_production_losses_at_farm_level_95_pct_ile,amr_production_losses_at_farm_level_5_pct_ile,amr_production_losses_at_pop_level_median,amr_production_losses_at_pop_level_95_pct_ile,amr_production_losses_at_pop_level_5_pct_ile,amr_health_expenditure_at_pop_level_median,amr_health_expenditure_at_pop_level_95_pct_ile,amr_health_expenditure_at_pop_level_5_pct_ile,amr_total_burden_at_pop_level_median,amr_total_burden_at_pop_level_95_pct_ile,amr_total_burden_at_pop_level_5_pct_ile,production_stage,population_ahle_median,population_ahle_5_pct__percentile,population_ahle_95_pct__percentile,ahle_at_pop_level_withoutamr_median,ahle_at_pop_level_withoutamr_errhigh,ahle_at_pop_level_withoutamr_errlow,amr_production_losses_at_pop_level_errhigh,amr_production_losses_at_pop_level_errlow,amr_health_expenditure_at_pop_level_errhigh,amr_health_expenditure_at_pop_level_errlow,amr_total_burden_at_pop_level_errhigh,amr_total_burden_at_pop_level_errlow,amr_total_burden_at_pop_level_median_pctofahle,amr_total_burden_at_pop_level_5pctile_pctofahle,amr_total_burden_at_pop_level_95pctile_pctofahle
Average,Breed,986.271844193741,17936.03929418156,342823.11191051395,-307029.7251591741,17689810.552203853,338116782.81621987,-302814773.2550361,3000041.9709864426,7784653.997407888,750358.586897034,20689852.523190297,345901436.8136278,-302064414.6681391,Breeding,4147189637.4599733,3799746438.731773,4499456508.711927,4126499784.936783,352266871.2519541,347443198.72820044,320426972.26401603,320504583.80723995,4784612.026421445,2249683.3840894084,325211584.29043746,322754267.1913294,0.0049888850840836396,-0.07283593012957669,0.08340622615595698
Average,Nurse,1991.85480102631,82097.31508914239,103503.35772747867,61286.64787164131,163525931.211678,206163660.01182202,122074103.80193762,27732612.259013556,71961923.5225921,6936370.873102966,191258543.47069156,278125583.5344141,129010474.67504059,Rearing,1381511615.1715894,1315019812.7095423,1447171527.8463204,1190253071.7008977,65659912.674731016,66491802.4620471,42637728.80014402,41451827.40974037,44229311.26357854,20796241.38591059,86867040.06372255,62248068.795650974,0.13844150231551725,0.09338356135284245,0.20131975763364812
Average,Fat,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,Fattening,2232583160.6021614,2060864582.428057,2406802806.4749675,2232583160.6021614,174219645.87280607,171718578.17410445,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Average,Total,2978.126645220051,,,,181215741.76388186,544280442.8280419,-180740669.45309848,30732654.23,79746577.52,7686729.46,211948395.99388185,624027020.3480419,-173053939.99309847,TOTAL,7761284413.233725,7175630833.869371,8353430843.033215,7549336017.239842,592146429.79949,585653579.3643532,363064701.06416005,361956411.21698034,49013923.28999999,23045924.77,412078624.3541601,385002335.9869803,0.027308417616095832,-0.02229707491430479,0.08040254513595929
Worse,Breed,986.271844193741,45995.15960044142,372641.25477120664,-279630.1652810685,45363730.88311281,367525577.56586766,-275791358.80396,3834258.7094101994,9949319.93551133,959009.5654710706,49197989.59252301,377474897.501379,-274832349.238489,Breeding,4147189637.4599733,3799746438.731773,4499456508.711927,4097991647.86745,352266871.2519541,347443198.72820044,322161846.6827549,321155089.6870728,6115061.22610113,2875249.143939129,328276907.90885603,324030338.831012,0.01186297080512944,-0.0662695399207294,0.09101944461179037
Worse,Nurse,1991.85480102631,159770.30017354043,181262.93971345847,138864.48466514103,318239239.4620812,361049456.71639484,276597890.4723056,26898395.520589802,69797257.58448867,6727719.89452893,345137634.982671,430846714.30088353,283325610.3668345,Rearing,1381511615.1715894,1315019812.7095423,1447171527.8463204,1036373980.1889184,65659912.674731016,66491802.4620471,42810217.25431365,41641348.9897756,42898862.06389888,20170675.626060873,85709079.31821251,61812024.6158365,0.2498260826709036,0.20508377002074232,0.3118661541237716
Worse,Fat,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,Fattening,2232583160.6021614,2060864582.428057,2406802806.4749675,2232583160.6021614,174219645.87280607,171718578.17410445,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Worse,Total,2978.126645220051,,,,363602970.345194,728575034.2822626,806531.6683455706,30732654.23,79746577.52,7686729.46,394335624.575194,808321611.8022625,8493261.128345571,TOTAL,7761284413.233725,7175630833.869371,8353430843.033215,7366948788.65853,592146429.79949,585653579.3643532,364972063.9370686,362796438.6768484,49013923.28999999,23045924.77,413985987.22706854,385842363.44684845,0.050808036863436476,0.0010943112861401855,0.10414791789152807
Best,Breed,986.271844193741,342.798962523505,325704.5635157126,-320665.9413885396,338092.96495575836,321233240.5209593,-316263789.38339704,184120.81070199027,477765.5842481234,46051.566169007456,522213.7756577486,321711006.10520744,-316217737.817228,Breeding,4147189637.4599733,3799746438.731773,4499456508.711927,4146667423.6843157,352266871.2519541,347443198.72820044,320895147.5560036,316601882.3483528,293644.77354613313,138069.24453298282,321188792.3295497,316739951.5928858,0.00012591991717494466,-0.07624868054283182,0.07757325664573313
Best,Nurse,1991.85480102631,28162.15887515434,49667.97683888982,7141.021030231903,56094931.36274188,98931398.12380627,14223877.023297263,30548533.419298008,79268811.93575187,7640677.893830991,86643464.78203988,178200210.05955815,21864554.917128254,Rearing,1381511615.1715894,1315019812.7095423,1447171527.8463204,1294868150.3895495,65659912.674731016,66491802.4620471,42836466.76106439,41871054.339444615,48720278.51645386,22907855.525467016,91556745.27751827,64778909.86491163,0.06271642151287915,0.015826544400361475,0.12898929556768507
Best,Fat,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,Fattening,2232583160.6021614,2060864582.428057,2406802806.4749675,2232583160.6021614,174219645.87280607,171718578.17410445,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Best,Total,2978.126645220051,,,,56433024.32769764,420164638.6447656,-302039912.3600998,30732654.23,79746577.52,7686729.46,87165678.55769764,499911216.1647656,-294353182.9000998,TOTAL,7761284413.233725,7175630833.869371,8353430843.033215,7674118734.676027,592146429.79949,585653579.3643532,363731614.317068,358472936.6877974,49013923.28999999,23045924.77,412745537.60706794,381518861.45779747,0.01123083164032385,-0.037925833821809155,0.06441088736709219
