scenario,farm_type,number_of_farms,orig_col,value
Average,Breed,760,burden_of_amr_at_farm_level_median,-8548.68013903083
Average,Nurse,483,burden_of_amr_at_farm_level_median,-42376.531629593155
Average,Fat,1116,burden_of_amr_at_farm_level_median,0.0
Average,Total,2359,burden_of_amr_at_farm_level_median,
Worse,Breed,760,burden_of_amr_at_farm_level_median,-192320.20092740544
Worse,Nurse,483,burden_of_amr_at_farm_level_median,-583624.7694883592
Worse,Fat,1116,burden_of_amr_at_farm_level_median,0.0
Worse,Total,2359,burden_of_amr_at_farm_level_median,
Average,Breed,760,ahle_at_farm_level_median,-4208686.294230067
Average,Nurse,483,ahle_at_farm_level_median,-693423.4052223827
Average,Fat,1116,ahle_at_farm_level_median,-1076592.5643644766
Average,Total,2359,ahle_at_farm_level_median,
Worse,Breed,760,ahle_at_farm_level_median,-4208686.294230067
Worse,Nurse,483,ahle_at_farm_level_median,-693423.4052223827
Worse,Fat,1116,ahle_at_farm_level_median,-1076592.5643644766
Worse,Total,2359,ahle_at_farm_level_median,
